date,time,time_in_video,condition,sleep_deprivation_days,time_elapsed
2020-04-03,12-01,00-11,control,0,44
2020-04-03,12-01,00-59,control,0,47
2020-04-03,12-01,01-50,control,0,53
2020-04-03,12-01,02-45,control,0,51
2020-04-03,12-01,03-42,control,0,51
2020-04-03,12-01,04-39,control,0,49
2020-04-03,12-01,05-32,control,0,45
2020-04-03,12-01,06-20,control,0,43
2020-04-03,12-01,07-05,control,0,56
2020-04-03,12-01,08-04,control,0,57
2020-04-03,12-01,09-11,control,0,44
2020-04-03,18-01,00-09,control,0,54
2020-04-03,18-01,01-08,control,0,55
2020-04-03,18-01,02-07,control,0,40
2020-04-03,18-01,02-50,control,0,49
2020-04-03,18-01,03-42,control,0,54
2020-04-03,18-01,04-40,control,0,46
2020-04-03,18-07,00-00,control,0,61
2020-04-03,18-07,00-32,control,0,45
2020-04-03,18-07,01-19,control,0,39
2020-04-03,18-07,02-01,control,0,49
2020-04-03,18-07,02-52,control,0,48
2020-04-04,00-01,00-09,control,0,51
2020-04-04,00-01,01-09,control,0,54
2020-04-04,00-01,02-06,control,0,52
2020-04-04,00-01,03-09,control,0,48
2020-04-04,00-01,03-59,control,0,47
2020-04-04,00-01,04-50,control,0,45
2020-04-04,00-01,05-38,control,0,56
2020-04-04,00-01,06-37,control,0,50
2020-04-04,00-01,07-32,control,0,41
2020-04-04,00-01,08-16,control,0,52
2020-04-04,00-01,09-11,control,0,48
2020-04-21,12-12,00-11,control,0,57
2020-04-21,12-12,01-09,control,0,53
2020-04-21,12-12,02-06,control,0,50
2020-04-21,12-12,02-58,control,0,47
2020-04-21,12-12,03-46,control,0,51
2020-04-21,12-12,04-40,control,0,52
2020-04-21,12-12,05-34,control,0,47
2020-04-21,12-12,06-23,control,0,45
2020-04-21,12-12,07-11,control,0,52
2020-04-21,12-12,08-05,control,0,51
2020-04-21,12-12,08-58,control,0,58
2020-04-21,18-07,01-10,control,0,49
2020-04-21,18-07,02-01,control,0,53
2020-04-21,18-07,02-58,control,0,48
2020-04-21,18-07,03-48,control,0,49
2020-04-21,18-07,04-39,control,0,44
2020-04-21,18-07,05-25,control,0,49
2020-04-21,18-07,06-15,control,0,47
2020-04-21,18-07,07-04,control,0,43
2020-04-21,18-07,07-47,control,0,46
2020-04-21,18-07,08-35,control,0,52
2020-04-21,18-07,09-29,control,0,58
2020-04-21,23-00,00-07,control,0,45
2020-04-21,23-00,00-54,control,0,61
2020-04-21,23-00,01-58,control,0,42
2020-04-21,23-00,02-41,control,0,58
2020-04-21,23-00,03-41,control,0,57
2020-04-21,23-00,04-40,control,0,51
2020-04-21,23-00,05-32,control,0,43
2020-04-21,23-00,06-17,control,0,44
2020-04-21,23-00,07-02,control,0,40
2020-04-21,23-00,07-44,control,0,44
2020-04-21,23-00,08-30,control,0,54
2020-04-22,11-58,00-04,control,0,41
2020-04-22,11-58,00-46,control,0,49
2020-04-22,11-58,01-37,control,0,50
2020-04-22,11-58,02-28,control,0,58
2020-04-22,11-58,03-28,control,0,48
2020-04-22,11-58,04-16,control,0,60
2020-04-22,11-58,05-19,control,0,51
2020-04-22,11-58,06-12,control,0,44
2020-04-22,11-58,06-58,control,0,51
2020-04-22,11-58,07-50,control,0,43
2020-04-22,11-58,08-34,control,0,64
2020-04-22,18-09,00-03,control,0,49
2020-04-22,18-09,00-54,control,0,46
2020-04-22,18-09,01-43,control,0,47
2020-04-22,18-09,02-32,control,0,46
2020-04-22,18-09,03-19,control,0,42
2020-04-22,18-09,04-03,control,0,51
2020-04-22,18-09,04-55,control,0,51
2020-04-22,18-09,05-48,control,0,48
2020-04-22,18-09,06-38,control,0,51
2020-04-22,18-09,07-33,control,0,53
2020-04-22,18-09,08-28,control,0,42
2020-04-22,23-01,00-07,control,0,51
2020-04-22,23-01,00-59,control,0,53
2020-04-22,23-01,01-55,control,0,53
2020-04-22,23-01,02-49,control,0,54
2020-04-22,23-01,03-44,control,0,53
2020-04-22,23-01,04-38,control,0,53
2020-04-22,23-01,05-52,control,0,53
2020-04-22,23-01,06-27,control,0,49
2020-04-22,23-01,07-17,control,0,57
2020-04-22,23-01,08-16,control,0,63
2020-04-22,23-01,09-20,control,0,53
